StateAb,DivisionNm,CandidateNm,PartyNm,BallotPosition
ACT,Bean,"FAULKNER, Therese",Australian Progressives,1
ACT,Bean,"CHRISTIE, Jamie",Independent,2
ACT,Bean,"RUSHTON, Ben",The Great Australian Party,3
ACT,Bean,"DONNELLY, Matt",Liberal Democrats,4
ACT,Bean,"HANLEY, Tony",United Australia Party,5
ACT,Bean,"COCKS, Ed",Liberal,6
ACT,Bean,"SMITH, David",Australian Labor Party,7
ACT,Bean,"DAVIS, Johnathan",The Greens,8
ACT,Canberra,"BOHM, Tim",Independent,1
ACT,Canberra,"PAYNE, Alicia",Australian Labor Party,2
ACT,Canberra,"HOLLO, Tim",The Greens,3
ACT,Canberra,"ZAKI, Mina",Liberal,4
ACT,Canberra,"KNIGHT, Robert John",Australian Progressives,5
ACT,Canberra,"DE MAINE, Greg",United Australia Party,6
ACT,Fenner,"HODGSON, Glen J",United Australia Party,1
ACT,Fenner,"RATLHAGANE, Kagiso",Australian Progressives,2
ACT,Fenner,"BRADDOCK, Andrew",The Greens,3
ACT,Fenner,"LEIGH, Andrew",Australian Labor Party,4
ACT,Fenner,"CASTLEY, Leanne",Liberal,5
NSW,Banks,"COLEMAN, David",Liberal,1
NSW,Banks,"DRAGONE, Gianluca",The Greens,2
NSW,Banks,"GAMBIAN, Chris",Australian Labor Party,3
NSW,Banks,"WRIGHT, Reginald Keith",United Australia Party,4
NSW,Banks,"THAKUR, Anjali",Animal Justice Party,5
NSW,Banks,"HO, Ki Man",Christian Democratic Party (Fred Nile Group),6
NSW,Barton,"BURNEY, Linda",Australian Labor Party,1
NSW,Barton,"SHRESTHA, Pramej",Liberal,2
NSW,Barton,"LIU, Ben Tung",United Australia Party,3
NSW,Barton,"SUSILO, Sonny",Christian Democratic Party (Fred Nile Group),4
NSW,Barton,"PARISSIS, Connor",The Greens,5
NSW,Barton,"POLLARD, Phillip",Pauline Hanson's One Nation,6
NSW,Bennelong,"OWLER, Brian",Australian Labor Party,1
NSW,Bennelong,"MARKS, Andrew",United Australia Party,2
NSW,Bennelong,"ALEXANDER, John",Liberal,3
NSW,Bennelong,"ZHANG, Qiu Yue",The Greens,4
NSW,Bennelong,"WORSLEY, Julie",Christian Democratic Party (Fred Nile Group),5
NSW,Berowra,"TAN, Monica",The Greens,1
NSW,Berowra,"LEESER, Julian",Liberal,2
NSW,Berowra,"McLACHLAN, Craig Steven",United Australia Party,3
NSW,Berowra,"CLARKE, Brendan Michael",Science Party,4
NSW,Berowra,"TAYLOR, Simon Alan",Christian Democratic Party (Fred Nile Group),5
NSW,Berowra,"WOODWARD, Roger",Independent,6
NSW,Berowra,"GALLAGHER, Mick",Independent,7
NSW,Berowra,"GOMPERTZ, Katie",Australian Labor Party,8
NSW,Berowra,"THOMAS, Justin",Sustainable Australia,9
NSW,Blaxland,"ROWE, Veronica",Christian Democratic Party (Fred Nile Group),1
NSW,Blaxland,"GUNEY, Oz",Liberal,2
NSW,Blaxland,"CLARE, Jason",Australian Labor Party,3
NSW,Blaxland,"ASHRAF, Nadeem",United Australia Party,4
NSW,Blaxland,"ROONEY, James",The Greens,5
NSW,Bradfield,"ADAMS, Tony",The Greens,1
NSW,Bradfield,"FLETCHER, Paul",Liberal,2
NSW,Bradfield,"VERSACE, Marcus",United Australia Party,3
